KEEP	PANEL	SCOPE	GROUP	GENE_OR_REGION	BASES
Y	ALL	ALL	subtype_anchors	CEBPB	102109
Y	ALL	ALL	subtype_anchors	CEBPD	101252
Y	ALL	ALL	subtype_anchors	CEBPE	101950
Y	ALL	ALL	subtype_anchors	CRLF2	122228
Y	ALL	ALL	subtype_anchors	DAZAP1	128098
Y	ALL	BOTH	subtype_anchors	ETV6	345704
Y	ALL	ALL	subtype_anchors	HLF	160228
Y	ALL	ALL	subtype_anchors	HNRNPUL1	145231
Y	ALL	ALL	subtype_anchors	ID4	104826
Y	ALL	ALL	subtype_anchors	IKZF1	201037
Y	ALL	ALL	subtype_anchors	MEF2D	137049
Y	ALL	ALL	subtype_anchors	NUTM1	114423
Y	ALL	ALL	subtype_anchors	P2RY8	174605
Y	ALL	ALL	subtype_anchors	PAX5	300998
Y	ALL	ALL	subtype_anchors	SS18	174965
Y	ALL	ALL	subtype_anchors	SYNRG	194612
Y	ALL	ALL	subtype_anchors	TAF15	137759
Y	ALL	ALL	subtype_anchors	TBL1XR1	278139
Y	ALL	ALL	subtype_anchors	TCF3	143324
Y	ALL	ALL	subtype_anchors	TCF4	513773
Y	ALL	ALL	subtype_anchors	ZCCHC7	337677
Y	ALL	ALL	subtype_anchors	ZEB2	236039
Y	ALL	ALL	subtype_anchors	ZNF362	144228
Y	ALL	ALL	subtype_anchors	ZNF384	123096
Y	ALL	ALL	subtype_anchors	ZNF521	390243
Y	ALL	BOTH	therapeutic_actionability	FLT3	197303
