KEEP	PANEL	SCOPE	GROUP	GENE_OR_REGION	BASES
Y	AML	BOTH	TF_programme_anchors	SET	112973
Y	AML	AML	fusion_anchors	CBFB	171907
Y	AML	AML	fusion_anchors	IRF2BP2	105257
Y	AML	AML	fusion_anchors	MECOM	2000000
Y	AML	BOTH	fusion_anchors	MYC	107518
Y	AML	AML	fusion_anchors	MYH11	253896
Y	AML	AML	fusion_anchors	NUMA1	177830
Y	AML	AML	fusion_anchors	PML	153107
Y	AML	AML	fusion_anchors	RARA	148464
Y	AML	AML	fusion_anchors	RARB	868609
Y	AML	AML	fusion_anchors	RARG	121691
Y	AML	AML	fusion_anchors	RUNX1T1	248414
Y	AML	AML	fusion_anchors	STAT5B	177215
Y	AML	AML	fusion_anchors	ZBTB16	297055
Y	AML	BOTH	named_intervals	HOXA_cluster	210000
Y	AML	AML	named_intervals	HOXB_cluster	110000
Y	AML	AML	rare_kinase_fusions_MDS_MPN	ALK	828813
Y	AML	AML	rare_kinase_fusions_MDS_MPN	LYN	234335
Y	AML	AML	rare_kinase_fusions_MDS_MPN	NTRK1	166101
Y	AML	AML	rare_kinase_fusions_MDS_MPN	NTRK2	458531
Y	AML	AML	rare_kinase_fusions_MDS_MPN	NTRK3	496989
Y	AML	AML	rare_kinase_fusions_MDS_MPN	RAF1	180517
Y	AML	AML	rare_kinase_fusions_MDS_MPN	RET	153281
Y	AML	AML	rare_kinase_fusions_MDS_MPN	ROS1	238590
Y	AML	AML	rare_kinase_fusions_MDS_MPN	SYK	196950
Y	AML	AML	rare_paediatric_anchors	BPTF	258876
Y	AML	AML	rare_paediatric_anchors	CBFA2T2	259935
Y	AML	BOTH	rare_paediatric_anchors	CBFA2T3	202350
Y	AML	BOTH	rare_paediatric_anchors	CREBBP	255659
Y	AML	BOTH	rare_paediatric_anchors	EP300	187486
Y	AML	BOTH	rare_paediatric_anchors	ERG	394520
Y	AML	BOTH	rare_paediatric_anchors	FLI1	226733
Y	AML	AML	rare_paediatric_anchors	FUS	114762
Y	AML	AML	rare_paediatric_anchors	GLIS2	124837
Y	AML	AML	rare_paediatric_anchors	HOXA9	103100
Y	AML	AML	rare_paediatric_anchors	HOXD13	103224
Y	AML	AML	rare_paediatric_anchors	JADE2	158913
Y	AML	AML	rare_paediatric_anchors	KAT6A	222509
Y	AML	AML	rare_paediatric_anchors	KDM5A	209264
Y	AML	AML	rare_paediatric_anchors	LNP1	154781
Y	AML	AML	rare_paediatric_anchors	MLF1	135263
Y	AML	AML	rare_paediatric_anchors	MNX1	105810
Y	AML	AML	rare_paediatric_anchors	MRTFA	326431
Y	AML	AML	rare_paediatric_anchors	NRIP1	203766
Y	AML	AML	rare_paediatric_anchors	NSD1	267135
Y	AML	AML	rare_paediatric_anchors	PHF23	104420
Y	AML	AML	rare_paediatric_anchors	PRRX1	175291
Y	AML	AML	rare_paediatric_anchors	RBM15	107299
Y	AML	AML	rare_paediatric_anchors	RPN1	130850
Y	AML	AML	rare_paediatric_anchors	TASP1	349548
Y	AML	AML	rare_paediatric_anchors	TOP1	195665
Y	AML	BOTH	shared_anchors_KMT2A_NUP98	KMT2A	190341
Y	AML	BOTH	shared_anchors_KMT2A_NUP98	KMT2C	401079
Y	AML	BOTH	shared_anchors_KMT2A_NUP98	SETD2	247706
Y	AML	BOTH	subtype_anchors	ETV6	345704
Y	AML	BOTH	therapeutic_actionability	FLT3	197303
Y	AML	AML	therapeutic_actionability	IDH1	118843
Y	AML	AML	therapeutic_actionability	IDH2	119423
